firstName;lastName;dateOfBirth;gender;parentContact;massar
Marie;Dupont;15/03/2010;Female;612345678;H10000
Jean;Martin;22/07/2009;Male;678901234;H10000
Sophie;Bernard;08/11/2011;Female;687654321;H10000
Lucas;Dubois;14/05/2008;Male;623456789;H10000
Emma;Thomas;30/09/2010;Female;698765432;H10000
Pierre;Roux;05/12/2009;Male;611111111;H10000
Chloé;Garcia;19/02/2011;Female;622222222;H10000
Antoine;Simon;27/08/2008;Male;633333333;H10000
Léa;Laurent;11/04/2010;Female;644444444;H10000
Hugo;Muller;03/10/2009;Male;655555555;H10000
